#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="2",unit_software_part_number="006-B1727-38",software_version="9.18",system_id="6000265E62371",unit="PFD1",airframe_hours="31.5",engine_hours="29.4",engine_cycles="2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Roll Steering (deg),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Carbon Monoxide (ppm),Cabin Altitude (ft),Oil Temp (deg F),Wing Fuel L Qty (gal),Wing Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Amps,Spar 1 Temp (deg F),Spar 2 Temp (deg F),Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Acro Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),CANOPY OPEN (discrete),CANOPY OPEN (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,Baro,COM1,COM2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,,,E1 FFlow,PTrim,RTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,E1 %Pwr,,
2025-06-10,10:27:50,15:27:50,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,0.7,3,190,29.6,9.3,1,84,81,0.5,7,19,25,189,190,201,194,190,190,160,180,174,169,167,172,0,0,,FUEL PRESS / VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:51,15:27:51,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,CEP,,,,,158,2,2,1.0,17,470,29.0,9.9,1,84,81,1.7,7,19,25,189,190,201,194,190,190,268,273,226,288,248,288,0,0,,FUEL PRESS / VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:52,15:27:52,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,3.2,37,970,27.8,10.6,1,84,81,6.2,7,19,25,189,190,201,194,190,190,397,396,343,415,376,439,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:53,15:27:53,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,9.9,57,1550,24.1,11.4,7,84,81,8.1,7,19,25,189,190,201,194,190,190,586,581,527,595,550,592,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:54,15:27:54,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,14.3,69,1560,20.0,11.8,13,84,81,7.9,7,19,25,189,190,201,194,192,190,698,696,649,696,666,703,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:55,15:27:55,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,17.1,75,1470,16.6,12.1,17,84,81,7.0,7,19,25,189,192,203,194,192,190,806,792,766,808,788,813,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:56,15:27:56,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,18.5,78,1400,14.8,12.3,17,84,81,6.1,7,19,25,189,192,203,194,192,190,892,882,856,900,887,909,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:57,15:27:57,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,19.2,79,1370,14.2,12.4,17,84,81,5.6,7,19,25,190,192,205,194,194,190,959,943,939,977,972,964,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:58,15:27:58,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,158,2,2,19.6,80,1360,14.0,12.5,17,84,81,5.1,7,19,25,190,194,205,196,194,192,1022,997,1015,1040,1045,1015,0,0,,VOLTS / AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:27:59,15:27:59,-05:00,,,,,,,,,,,,,,,,,,,,,,,,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,*,,,,,,,,,156,2,2,19.8,80,1350,13.8,12.5,16,84,81,4.8,7,19,25,190,194,205,196,194,192,1076,1044,1072,1098,1096,1083,0,0,,AHRS FAIL / ADC FAIL / CO FAIL,
2025-06-10,10:28:00,15:28:00,-05:00,,,,,,,,,,,,,,,,,,,,,,0.022,0.959,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,080091F8 A3 A3 * 00818000,,32,,L+,,,,,156,2,2,19.8,80,1340,13.6,12.5,16,84,81,4.5,7,19,25,190,196,207,196,196,192,1108,1083,1105,1123,1134,1125,0,0,,CO FAIL,
2025-06-10,10:28:01,15:28:01,-05:00,,,,,,,,,,,,,,,,,,,,,,0.012,0.975,191,,30.01,,,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,080091F8 A6 A6 * 00018000,,25,,L+,,,,,156,2,2,19.9,80,1320,13.5,12.5,15,84,81,4.3,7,19,25,190,196,207,198,196,192,1146,1114,1135,1166,1182,1164,0,0,,CO FAIL,
2025-06-10,10:28:02,15:28:02,-05:00,,,,,,,,,,,,,,,,,,,,,,0.006,0.982,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,080091F8 A9 A9 * 00018000,,28,,,2201,ALT,,,156,2,2,19.8,79,1320,13.8,12.5,15,84,81,4.2,7,19,25,192,198,207,198,198,194,1168,1144,1177,1182,1220,1186,0,0,,CO FAIL,
2025-06-10,10:28:03,15:28:03,-05:00,,,,,,,,,,,,,,,,,,,,,,0.008,0.984,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,080011F8 A9 A9 * 00010000,080197FE D99 X0,26,19,L+,2201,ALT,,,156,2,2,19.8,79,1310,13.8,12.5,15,84,81,4.2,7,19,25,192,198,207,198,198,194,1189,1168,1198,1207,1243,1220,0,0,,CO FAIL,
2025-06-10,11:03:13,16:03:13,-05:00,,,,,,,,,,,,,,,30,112,,18.5,,,,-0.010,0.997,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,081011F8 A9 A9 * 00010000,080197FE D99 A99,29,13,,2201,ALT,,,156,2,2,19.9,79,1310,14.0,12.5,15,84,81,4.1,7,19,25,192,198,208,198,198,194,1209,1189,1231,1229,1261,1249,0,0,,CO FAIL,
2025-06-10,11:03:14,16:03:14,-05:00,,,,,,,,,,,,,,,30,112,,18.8,,,,0.004,0.992,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,081011F8 A9 A9 * 00010000,080197FE D99 A99,31,24,,2201,ALT,0,505,156,2,2,20.0,79,1310,14.0,12.4,15,84,81,4.1,7,19,25,194,199,208,199,199,194,1227,1213,1242,1243,1288,1261,0,0,,CO FAIL,
2025-06-10,11:03:15,16:03:15,-05:00,,,,,,,,,,,,,,,31,113,,18.1,,,,-0.005,0.993,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,081011F8 A9 A9 * 00010000,080197FE D99 A99,40,21,,2201,ALT,0,505,156,2,2,20.0,79,1310,14.0,12.4,15,84,81,4.1,7,19,25,194,199,208,199,199,196,1229,1231,1269,1254,1308,1258,0,0,,,
2025-06-10,11:03:16,16:03:16,-05:00,,,,,,,,,,,,,,,30,113,,18.2,,,,0.013,0.991,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,081011F8 A9 A9 * 00010000,080197FE D99 A99,35,17,,2201,ALT,0,505,156,2,2,20.0,79,1310,14.0,12.4,14,84,81,4.1,7,19,25,194,201,210,199,199,196,1234,1261,1278,1263,1324,1263,0,0,,VOLTS,
2025-06-10,11:03:17,16:03:17,-05:00,,,,,,,,,,,,,,,32,113,,19.9,,,,-0.013,0.995,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,081111F8 A9 A9 * 00010000,080197FE D99 A99,25,14,,2201,ALT,0,505,156,2,2,20.0,79,1330,13.9,12.4,14,84,81,4.1,7,19,25,194,201,210,201,201,196,1242,1260,1287,1270,1328,1276,0,0,,VOLTS,
2025-06-10,11:03:18,16:03:18,-05:00,,,,,,,,,,,,,,,31,113,-10,18.1,,,,0.010,0.977,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,,,,,,081111F8 A9 A9 * 00010000,080197FE D99 A99,28,17,,2201,ALT,0,505,156,2,2,20.0,79,1290,14.0,12.4,14,84,81,4.1,7,19,25,196,201,210,201,201,196,1254,1274,1292,1287,1355,1287,0,0,,VOLTS,
2025-06-10,11:03:19,16:03:19,-05:00,,,,,,,,,,,,,,,31,113,37,19.0,,,,0.008,0.984,191,,30.01,118.300,129.200 TX,GPS,LOI,,,,,,,,,,,,,,2.4,28.5,,,,,081111F8 A9 A9 * 00010000,080197FE D99 A99,21,17,,2201,ALT,0,505,156,2,2,20.1,79,1350,14.1,12.4,14,84,81,4.0,7,19,25,196,203,210,201,201,198,1247,1274,1292,1290,1355,1290,0,0,21,VOLTS,
2025-06-10,11:03:20,16:03:20,-05:00,,,,,,,,,,,,,,,33,114,47,19.6,,,,0.004,0.997,191,,30.01,118.300,129.200 TX,GPS,LOI,,,,,,,,,,,,,,2.4,28.6,,,,,081111F8 A9 A9 * 00010000,080197FE D99 A99,19,18,,2201,ALT,0,505,156,2,2,20.2,79,1370,13.9,12.4,15,84,81,4.0,7,19,25,196,203,212,203,203,198,1243,1272,1290,1283,1346,1297,0,0,21,VOLTS,
2025-06-10,11:03:21,16:03:21,-05:00,,,,,,,,,,,,,,,34,115,64,20.2,,,,0.002,0.998,191,,30.01,118.300,129.200,GPS,LOI,,,,,,,,,,,,,,2.4,28.6,,,,,081111F8 A9 A9 * 00010000,080197FE D99 A99,17,14,,2201,ALT,0,505,156,2,2,20.1,79,1380,13.7,12.4,15,84,81,4.0,7,19,25,196,203,212,203,203,198,1240,1269,1290,1274,1335,1303,0,0,21,VOLTS,
2025-06-10,11:03:24,16:03:24,-05:00,-6.7805696,-79.8243233,145,3D- (SFD1),230604.1,1.5,,-1,0,-0.06,,382,10018,9,33,115,4,19.0,,,,0.011,0.982,191,,30.01,118.300,129.200,GPS,,,,,,,,,,,,,,,2.4,28.5,,,,,081111F8 A9 A9 * 00000000,080197FE D99 A99,18,19,,2201,ALT,0,505,156,2,2,20.1,79,1370,13.6,12.4,15,84,81,4.0,7,19,25,198,205,212,203,203,199,1236,1261,1290,1278,1332,1317,0,0,21,VOLTS,
2025-06-10,11:03:25,16:03:25,-05:00,-6.7805051,-79.8242872,103,3D- (SFD1),230605.1,1.6,,-1,1,0.34,,252,5128,9,32,115,-8,18.8,,,,0.026,0.980,191,,30.01,118.300,129.200,GPS,,,,,,,,,,,,,,,2.4,28.4,,,,,081111F8 A10 A10 * 00000000,080197FE D99 A99,17,16,,2201,ALT,0,505,156,2,2,20.1,79,1370,13.5,12.4,15,84,81,4.0,7,19,25,198,205,212,205,205,199,1233,1258,1297,1278,1319,1315,0,0,20,VOLTS,
2025-06-10,11:03:26,16:03:26,-05:00,-6.7804764,-79.8242722,111,3D- (SFD1),230606.2,1.6,,0,1,0.17,,154,3558,9,33,115,4,19.6,20,,,0.007,1.022,191,,30.01,118.300,129.200,GPS,,,,,,,,,,,,,,,2.4,28.4,1579,,,,081111F8 A13 A13 * 00000000,080197FE D99 A99,35,35,,2201,ALT,0,406,156,2,2,20.1,79,1370,13.5,12.4,16,84,81,4.0,7,19,25,198,205,214,205,205,199,1240,1261,1297,1278,1319,1308,0,0,20,VOLTS,
2025-06-10,11:03:27,16:03:27,-05:00,-6.7804925,-79.8243113,109,3D- (SFD1),230607.2,1.8,,0,1,-0.13,,128,2626,8,33,115,-13,19.8,20,,,-0.009,1.012,191,,30.01,118.300,129.200,GPS,,,,,,,,,,,,,,,2.4,28.3,1576,,,,081111F8 A16 A16 * 00000000,080197FE D99 A99,71,71,L+,2201,ALT,0,467,156,2,2,20.4,79,1370,13.4,12.4,16,84,81,4.0,7,19,25,199,207,214,205,205,199,1242,1256,1292,1278,1319,1310,0,0,20,VOLTS,
